date,time,open,close,high,low,volume,turnover,avg_vol_last_100,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,PP,R1,S1,R2,S2,R3,S3,BBL_5_2.0,BBM_5_2.0,BBU_5_2.0,BBB_5_2.0,BBP_5_2.0,RSI,SMA_5,SMA_10,SMA_20,EMA_5,EMA_10,EMA_20,STOCHk_14_3_3,STOCHd_14_3_3,ATR,ROC,CCI,color_green,color_red
2023-01-03,04:00:00,-2.1210641700467048,-2.11971661501636,-2.126183634197532,-2.1132322581359846,-0.791650736396682,-0.8235422817186072,-1.161974643350352,-0.24396876669613723,-0.15595408778950215,-0.21163091404190706,-2.1202756993874465,-2.124343669226684,-2.1151419779028258,-2.1262473501227017,-2.1075589641643253,-2.1271272368955736,-2.098905766764283,-2.1097573365987436,-2.1215514656980896,-2.1284682748135593,-0.7257629984499948,1.331361281208192,-0.29313237326271263,-2.1215514656980896,-2.1136580706370167,-2.102856671265244,-2.1201075285310456,-2.1158976609472093,-2.109272472371954,-1.4998745359492074,-1.7301977178728278,-1.4840064248485916,-0.2648307800108207,-0.4725277836058169,-1.0274218548726886,1.0274218548726886
2023-01-03,04:42:00,-2.1190549489865065,-2.1188286581538884,-2.1239659753315188,-2.1113285033437563,-0.6927871475239803,-0.7532627272443122,-1.1809821005257863,-0.24029341776149846,-0.11438858195670386,-0.21960962208616347,-2.118527981012309,-2.1237615433958643,-2.1110077014304167,-2.127977824007154,-2.1022124199297516,-2.1299655560168493,-2.091113829015864,-2.108258807876813,-2.119864114411314,-2.1266005069396416,-0.7197505250145181,1.0352828774882699,-0.2279626463358628,-2.119864114411314,-2.115583049319753,-2.103098431892942,-2.1190915393796175,-2.115715248686654,-2.1094228850501557,-1.295578854925472,-1.5434127174200907,-1.4965299829336467,-0.3310012979604119,-0.29798870871757605,0.9733100335148248,-0.9733100335148247
2023-01-03,05:24:00,-2.1176063336975375,-2.1075160877260037,-2.104675863290643,-2.1097441247760544,-0.25198950647597695,-0.438797417574038,-1.1665917384500306,-0.2183269097707575,-0.027205549732896656,-0.2213819253035096,-2.1168570857489297,-2.1223203872609604,-2.1098941126995467,-2.1259947283890117,-2.1008701810660244,-2.128213251068106,-2.0903422918064827,-2.111344968782605,-2.1162638396131066,-2.1164902496045515,-0.5247784525649872,1.5019117019558248,0.46033800714210954,-2.1162638396131066,-2.1153476458352474,-2.1031082089771505,-2.1146415277649764,-2.1135068842404516,-2.1084789025381374,-0.8035956117821149,-1.2387942007243118,-1.4631188289543002,-0.09815304943533125,0.559399976080846,0.9733100335148248,-0.9733100335148247
2023-01-03,06:06:00,-2.111225405425042,-2.100092768355745,-2.098339695102034,-2.1033072878274313,-0.5466200645398259,-0.6482710112939537,-1.1740123757882268,-0.1886835142786879,0.06517582003005074,-0.21657776330063405,-2.106074780120487,-2.1025123670769084,-2.1077754474486845,-2.0978629428398796,-2.108099129031265,-2.0914366670492774,-2.106510632576463,-2.111357300997345,-2.1112586228487498,-2.106604868228093,-0.3780303901256997,1.2835775238000156,0.7920803529604681,-2.1112586228487498,-2.11384017521937,-2.102800675237506,-2.1091992135675848,-2.1103488453979353,-2.106916080057481,-0.1658929916372983,-0.779481936313131,-1.432432042962198,0.03930833734908113,0.9799542070393374,-1.0274218548726886,1.0274218548726886
2023-01-03,06:48:00,-2.1043230615046387,-2.1088480230197106,-2.1139337090328882,-2.10133148565424,-0.8065041499165481,-0.8338824738136726,-1.199106879763786,-0.18000051254463145,0.07728017452291001,-0.21091191385428595,-2.099342433832223,-2.095494115974432,-2.1006435729536364,-2.091245794130678,-2.1012681417188714,-2.0845478355404037,-2.0992840217856186,-2.106199772263242,-2.108496695216184,-2.106184069115492,-0.44667317316453986,0.19754100706275654,0.1997135317446556,-2.108496695216184,-2.1123149383027777,-2.102811341147551,-2.108490837632089,-2.109358629971581,-2.106338007695984,0.15844082964904946,-0.2788385228655764,-1.4334768075663453,0.04147636923868915,0.44516300469403264,-1.0274218548726886,1.0274218548726886
2023-01-03,07:30:00,-2.105249776466899,-2.1095672680783117,-2.1117512511012557,-2.102227275769788,-0.6782626832533846,-0.7424959369507814,-1.2142290434108607,-0.17460752561019122,0.07726320325412542,-0.20524727256234382,-2.1068528311184602,-2.1123154045550767,-2.0999237658400705,-2.1159711625878077,-2.0909167422494788,-2.118203533139288,-2.0804394481539363,-2.1012826219269605,-2.1064665451943037,-2.106972470425268,-0.5296795935191156,-0.12769152070548204,0.15537752007425865,-2.1064665451943037,-2.1110721855675925,-2.1026931273112153,-2.1082584516289966,-2.108679370952388,-2.1058836599267643,0.20912494159882902,0.0698581833014343,-1.4414087590947626,0.010861981543582632,0.6086284339996844,0.9733100335148248,-0.9733100335148247
2023-01-03,08:12:00,-2.106072777802714,-2.1130924568223235,-2.116647002887287,-2.105917931045846,-0.5892339598684639,-0.6793491692925427,-1.222716169482768,-0.1764734935047355,0.05584693720564494,-0.2011072171168364,-2.1066545219290393,-2.1110427895215613,-2.10174469745213,-2.11274515401158,-2.093856436845538,-2.11395716026363,-2.0854514748985236,-2.0966973366433166,-2.1053191463192955,-2.109178705970706,-0.6288321700677715,-1.0675930463018866,-0.061389349750744455,-2.1053191463192955,-2.1096544347703374,-2.1028477830068746,-2.1092791603968988,-2.1087652696690666,-2.105809151551667,-0.1133397013216416,0.08795316436025655,-1.4518546091386204,0.029927806645040324,0.27598570356732816,-1.0274218548726886,1.0274218548726886
2023-01-03,08:54:00,-2.108246977363338,-2.108475081137473,-2.1091815828914315,-2.104950477721054,-0.6693681921733982,-0.7361426594451397,-1.2359518161386651,-0.17059907710348282,0.06153608568144469,-0.19656216132136906,-2.1106956507936334,-2.115425515375312,-2.1049139523161964,-2.117966823907642,-2.096661810189503,-2.1194952674533463,-2.0873566430775443,-2.096898350561331,-2.1055109715182123,-2.1093611601655335,-0.6286238617621469,-0.1338771878066481,0.18310052833036763,-2.1055109715182123,-2.107949758216497,-2.102852671548978,-2.1084197612705937,-2.1079950940898295,-2.10530089424362,0.02149879480096762,0.04080172033365127,-1.4453806576539936,0.060937158771083716,0.5828798024294295,0.9733100335148248,-0.9733100335148247
2023-01-03,09:36:00,-2.107025252397523,-2.1015845358846956,-2.104499858618737,-2.0990703337287715,-0.6503278733879222,-0.7223196578177123,-1.247359755965447,-0.15498453919063762,0.09480569749075471,-0.18964870110068438,-2.106325979839104,-2.1077175695952812,-2.1036969749509615,-2.107231031341684,-2.098902360937239,-2.105562098326778,-2.0928513354246916,-2.0960982178465053,-2.1058093662720845,-2.1107297252723995,-0.6605027762784285,1.4506041914869225,0.5030939237768246,-2.1058093662720845,-2.1055957233714344,-2.1024838088265723,-2.105548866228812,-2.1061107309617717,-2.1041831660556167,0.31706370227141484,0.07796684963672186,-1.4421110059598512,0.13120163246134361,0.8721240439783344,-1.0274218548726886,1.0274218548726886
2023-01-03,10:18:00,-2.1029689129857805,-2.1055270643540673,-2.11097683054487,-2.0968883666811204,-0.8025453024858743,-0.8309806789942975,-1.2675873610299986,-0.14975292269518672,0.09080782843141223,-0.18301984205977467,-2.100511614092471,-2.101971506972633,-2.0967331364288766,-2.1026107821291204,-2.091868519263696,-2.101004514406366,-2.0846511894625306,-2.095706099665944,-2.1051450827128693,-2.1098015763408697,-0.6524247596750233,0.4101157034401553,0.2498437306995391,-2.1051450827128693,-2.1038821636672376,-2.1023562623189456,-2.1049497496766856,-2.1052865997312704,-2.1035483019521766,0.5959091555147638,0.3221731505811685,-1.4567337567926064,0.06180911029251044,0.5636644178538343,-1.0274218548726886,1.0274218548726886
