time,open,close,high,low,volume,turnover,color,avg_vol_last_100,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,PP,R1,S1,R2,S2,R3,S3,BBL_5_2.0,BBM_5_2.0,BBU_5_2.0,BBB_5_2.0,BBP_5_2.0,RSI,SMA_5,SMA_10,SMA_20,EMA_5,EMA_10,EMA_20,STOCHk_14_3_3,STOCHd_14_3_3,ATR,ROC,CCI
1672635000,16623.050000000003,16622.050000000003,16627.2,16614.9,10.98788915,182654.7205048329,red,10.98788915,,,,,,,,,,,,,,,,,,,,,,,,,,,
1672636740,16622.550000000003,16635.699999999997,16652.1,16619.3,73.81308048999999,1228030.73885256,green,42.40048482,,,,16621.383333333335,16627.86666666667,16615.56666666667,16633.683333333334,16609.083333333336,16640.166666666668,16603.26666666667,,,,,,,,,,,,,,,,,
1672638480,16629.125,16652.8,16658.9,16629.125,51.64347094,860112.360346527,green,45.48148019333333,,,,16635.699999999997,16652.099999999995,16619.299999999996,16668.499999999996,16602.899999999998,16684.899999999994,16586.499999999996,,,,,,,,,,,,,,,,,
1672640220,16640.9625,16647.074999999997,16658.0,16636.8,44.49786252,740807.875582047,red,45.235575775,,,,16646.941666666666,16664.75833333333,16634.98333333333,16676.716666666667,16617.166666666664,16694.533333333333,16605.20833333333,,,,,,,,,,,,,,,,,
1672641960,16644.01875,16669.25,16698.4,16638.9,110.57296641,1843273.06936994,green,58.303053902,,,,16647.291666666668,16657.783333333336,16636.583333333336,16668.49166666667,16626.091666666667,16678.983333333337,16615.383333333335,16613.554283477584,16645.375,16677.195716522416,0.3823370338297064,0.875148686284005,,16645.375,,,16645.375,,,,,,,
1672643700,16656.634375,16720.6,16763.5,16656.634375,415.99775508,6957849.709880294,green,117.91883743166666,,,,16668.850000000002,16698.800000000003,16639.300000000003,16728.350000000002,16609.350000000002,16758.300000000003,16579.800000000003,16605.499619242637,16665.085,16724.67038075736,0.7150924313600818,0.9658441323557388,,16665.085,,,16670.45,,,,,,,
1672645440,16688.6171875,16734.975,16748.9,16688.6171875,123.61145114,2066969.064176283,green,118.73206796142856,,,,16713.578125,16770.521875,16663.65625,16820.44375,16606.7125,16877.387499999997,16556.790625,16612.895287494503,16684.94,16756.984712505495,0.8635897103075725,0.8472496333175235,,16684.94,,,16691.958333333336,,,,,,,
1672647180,16711.79609375,16749.85,16766.3,16711.79609375,126.40075116,2116860.409250696,green,119.69065336125,,,,16724.1640625,16759.7109375,16699.428125,16784.446875,16663.88125,16819.99375,16639.145312499997,16625.43415241538,16704.35,16783.26584758462,0.9448538564460128,0.7882817671774438,,16704.35,,,16711.25555555556,,,,,,,
1672648920,16730.823046874997,16738.875,16751.8,16720.1,61.75892955,1033561.154930779,red,113.25379516,,,,16742.648697916666,16773.501302083332,16718.997395833332,16797.152604166666,16688.144791666666,16828.005208333332,16664.493489583332,16666.065559849194,16722.71,16779.354440150804,0.6774552707163513,0.6426883199565977,,16722.71,,,16720.46203703704,,,,,,,
1672650660,16734.8490234375,16728.8,16735.7,16716.1,38.65755538,646577.42851726,red,105.794171182,,,,16736.925,16753.75,16722.05,16768.625,16705.225,16785.45,16690.35,16715.011496742532,16734.62,16754.228503257465,0.2343465612899069,0.3515949962222748,,16734.62,16689.997499999998,,16723.241358024694,16689.997499999998,,,,,,
1672652400,16731.824511718747,16725.05,16731.824511718747,16708.7,62.10624055,1038375.356281194,red,101.82254112454548,,,,16726.86666666667,16737.63333333334,16718.033333333336,16746.46666666667,16707.266666666666,16757.23333333334,16698.433333333334,16718.266317098776,16735.510000000002,16752.753682901228,0.2060729897233587,0.1967005233186243,,16735.510000000002,16700.2975,,16723.84423868313,16696.370681818178,,,,,0.6196588266789977,
1672654140,16728.437255859375,16734.8,16755.0,16724.2,121.73682612,2037486.115065789,green,103.48206487416668,,,,16721.858170572916,16735.01634114583,16711.891829427084,16744.982682291662,16698.73365885417,16758.140852864577,16688.767317708338,16718.226405854446,16735.475,16752.72359414555,0.2061321133168014,0.4804331879368465,,16735.475,16710.207499999997,,16727.496159122085,16703.35783057851,,,,,0.5957068232776631,
1672655880,16731.61862792969,16727.35,16731.9,16721.6,40.29983855,674058.163544815,red,98.62189361846154,,,,16738.0,16751.8,16721.0,16768.8,16707.2,16782.6,16690.2,16720.77627458953,16730.975,16741.173725410466,0.1219142986044493,0.3222817139345996,,16730.975,16717.6625,,16727.447439414726,16707.720043200596,,,,,0.447672463489619,
1672657620,16729.484313964844,16718.025,16729.484313964844,16710.7,24.51024421,409797.263841773,red,93.328204375,,,,16726.95,16732.300000000003,16722.0,16737.250000000004,16716.649999999998,16742.600000000006,16711.699999999997,16715.910395831048,16726.805,16737.699604168953,0.1302652140555516,0.0970482330592495,,16726.805,16724.7575,,16724.306626276484,16709.59367170958,,,,,0.4262009992746736,37.26469610736997
1672659360,16723.754656982423,16721.574999999997,16737.1,16706.0,73.36043514,1226959.874295755,green,91.99701975933334,,,,16719.403104654946,16728.10620930989,16709.32189534505,16738.18741861979,16700.618790690103,16746.890523274735,16690.537581380206,16714.00048416532,16725.359999999997,16736.719515834673,0.1358358305552303,0.3333995896002126,69.21087259391585,16725.359999999997,16729.989999999998,,16723.39608418432,16711.772095035107,,,,35.503579006263,0.3139013452914623,34.78669016056349
1672661100,16722.664828491208,16734.9,16740.4,16722.664828491208,35.51980112,594475.592394775,green,88.467193594375,,,,16721.55833333333,16737.11666666666,16706.016666666663,16752.65833333333,16690.458333333332,16768.21666666666,16674.916666666664,16713.68275119307,16727.329999999998,16740.977248806925,0.1631730683489433,0.7773452769528609,72.71568279917763,16727.329999999998,16731.42,,16727.23072278955,16715.977168665086,,71.59954279832249,,33.72806096543103,0.0855232467734585,55.82455063395008
